kms_driven,owner,age,power,brand,actual_price,predicted_price
21890.0,1,8.0,200.0,7,53500.0,45667.28
13328.0,1,4.0,100.0,6,35000.0,35826.39
47970.0,1,16.0,150.0,7,10800.0,12903.82
20000.0,1,5.0,500.0,2,125000.0,110902.0
48000.0,1,12.0,500.0,2,100000.0,77073.0
23500.0,1,4.0,150.0,5,90000.0,91970.0
5989.0,1,4.0,650.0,12,500000.0,517502.0
24000.0,1,5.0,220.0,7,74000.0,62895.0
30000.0,1,10.0,150.0,7,25000.0,23848.0
2412.0,1,4.0,400.0,7,160000.0,163249.22
38000.0,1,7.0,250.0,5,85000.0,77482.99
45000.0,1,10.0,350.0,2,67000.0,75864.19
12600.0,1,4.0,160.0,5,52000.0,66383.0
26000.0,1,7.0,150.0,7,65000.0,30127.666666666664
14244.0,1,7.0,100.0,6,23000.0,25840.0
17278.0,1,6.0,350.0,2,101000.0,112173.0
27481.0,2,7.0,150.0,4,66400.0,53679.97999999999
46000.0,1,24.0,100.0,6,23000.0,22057.79
12917.0,1,3.0,160.0,1,65000.0,73458.975
101250.0,3,14.0,223.0,6,27000.0,18466.0
23500.0,1,7.0,150.0,4,32600.0,62689.33333333334
24500.0,1,12.0,200.0,7,39500.0,26952.783333333336
23000.0,1,5.0,150.0,4,65000.0,74663.0
26000.0,1,5.0,410.0,2,142000.0,120048.0
18330.0,1,10.0,135.0,7,21000.0,23527.0
7500.0,1,4.0,150.0,7,76000.0,62932.58
25430.0,1,7.0,100.0,6,32000.0,27888.0
15000.0,1,5.0,150.0,7,45000.0,52679.7380952381
17525.0,1,5.0,125.0,6,33000.0,38785.33333333333
21049.0,1,12.0,100.0,6,22000.0,17245.0
30000.0,1,7.0,150.0,7,28500.0,32969.985
12257.0,1,5.0,100.0,1,22000.0,25922.35
6700.0,2,3.0,200.0,10,127000.0,147718.0
15000.0,1,5.0,150.0,8,70000.0,54799.86
36000.0,1,15.0,350.0,2,81865.0,66506.16
2200.0,1,6.0,220.0,7,70000.0,46000.0
15000.0,1,3.0,125.0,6,48000.0,49802.08
13959.0,1,4.0,150.0,4,49000.0,71470.0
34000.0,1,6.0,125.0,6,35000.0,30999.0
29858.0,1,4.0,100.0,7,27000.0,27490.0
29299.0,1,4.0,350.0,2,111500.0,107150.0
35000.0,3,8.0,100.0,6,22500.0,29371.91
3400.0,1,4.0,350.0,2,117000.0,146727.53
64955.0,1,15.0,150.0,7,10000.0,18025.97
17000.0,1,5.0,150.0,7,43000.0,54891.876190476185
18785.0,1,4.0,110.0,1,28000.0,34740.4
14061.0,1,6.0,180.0,1,55000.0,54906.49
71359.0,2,13.0,160.0,1,19000.0,22443.65666666667
6457.0,1,4.0,220.0,7,60000.0,85632.0
17500.0,1,6.0,200.0,7,97900.0,90184.33333333331
29936.0,1,6.0,150.0,8,36000.0,51156.86666666667
12152.0,1,11.0,150.0,1,23000.0,29379.0
12974.0,1,4.0,110.0,5,46000.0,34400.66
6756.0,1,3.0,100.0,6,46000.0,44260.0
20000.0,1,9.0,150.0,4,32000.0,45981.0
21171.0,1,5.0,110.0,1,28000.0,23809.52380952381
21466.0,1,10.0,135.0,7,25000.0,20291.0
1500.0,1,3.0,410.0,2,150900.0,169630.0
30000.0,1,10.0,100.0,6,18000.0,21404.455714285712
14900.0,1,4.0,220.0,7,69600.0,71777.16666666667
17000.0,1,4.0,180.0,7,52000.0,59946.43333333333
26000.0,1,8.0,150.0,5,70000.0,50333.93000000001
11799.0,1,4.0,100.0,6,38000.0,36790.0
750.0,1,4.0,350.0,2,146300.0,129646.0
15027.0,2,7.0,750.0,15,380000.0,332274.72
69619.0,1,13.0,100.0,7,15000.0,17076.0
13550.0,1,8.0,125.0,7,18000.0,27480.0
7127.0,1,5.0,220.0,7,80000.0,70635.18333333333
12600.0,1,7.0,180.0,1,70000.0,52627.0
22000.0,1,7.0,150.0,5,38000.0,54841.89
15000.0,1,4.0,150.0,7,44000.0,50450.60714285713
8986.0,1,7.0,250.0,5,90000.0,85797.03
26536.0,1,7.0,350.0,2,78000.0,89416.75
6668.0,1,4.0,160.0,1,75000.0,60305.0
100000.0,1,19.0,350.0,2,100000.0,65213.0
12200.0,1,7.0,350.0,2,112000.0,91267.0
18000.0,1,5.0,100.0,6,29000.0,31834.0
120000.0,1,17.0,350.0,2,41000.0,65377.0
12000.0,2,5.0,883.0,15,560000.0,654869.0
70000.0,1,14.0,350.0,2,62000.0,68951.0
23800.0,1,7.0,150.0,5,75500.0,48884.99
25000.0,1,9.0,100.0,6,27500.0,25133.0
47043.0,1,5.0,220.0,7,49000.0,52836.0
15078.0,1,7.0,350.0,2,100000.0,97073.04761904762
1800.0,1,2.0,350.0,2,150000.0,155874.0
25212.0,1,6.0,350.0,2,75500.0,95950.92279942275
28032.0,1,7.0,150.0,5,61483.0,50715.38666666666
14547.0,1,3.0,150.0,8,80000.0,71994.82666666668
32000.0,3,9.0,200.0,10,55000.0,75855.0
20880.0,1,5.0,160.0,5,78000.0,54315.0
11000.0,1,4.0,150.0,7,35000.0,61368.86666666664
22000.0,1,6.0,150.0,7,69000.0,32244.111111111106
7500.0,2,12.0,100.0,6,15000.0,19717.0
6000.0,1,3.0,110.0,1,42985.0,48716.0
15000.0,1,13.0,100.0,6,22000.0,18335.0
25081.0,1,10.0,150.0,4,20000.0,28464.55
22728.0,1,11.0,125.0,6,25000.0,25240.0
32800.0,1,7.0,100.0,6,25100.0,29093.9
25528.0,1,7.0,150.0,7,30000.0,31259.666666666664
15000.0,1,5.0,220.0,7,75000.0,67287.0
1450.0,1,5.0,500.0,2,149100.0,152933.5
16499.0,1,4.0,350.0,2,92000.0,120708.76190476188
20000.0,1,9.0,100.0,6,21000.0,25890.0
54560.0,1,8.0,223.0,6,36000.0,39420.45
21000.0,2,6.0,150.0,5,60000.0,44943.56
7000.0,1,4.0,1262.0,13,1500000.0,1135290.0
24000.0,1,6.0,390.0,10,149600.0,129158.0
49692.0,1,13.0,110.0,1,18000.0,13850.39
19000.0,1,3.0,150.0,4,74000.0,103112.0
33846.0,1,5.0,160.0,1,47000.0,43289.0
